,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",-10.457856519610152,54.81303302130556,-88.62705761134782,7.270883136006652
terminal,0.0,0.0,0.0,0.0
"[5.0, 45.0, 35.0, 75.0]",3.3862815221016422,60.597825340523585,-91.73877339172432,1.7711052477268667
"[5.0, 85.0, 35.0, 115.0]",7.966872351515539,66.27561077075696,-88.01739959840195,14.965580955735664
"[5.0, 125.0, 35.0, 155.0]",21.475267284019342,-25.766878307697787,71.90123184391469,12.342231770471125
"[5.0, 165.0, 35.0, 195.0]",8.210272429867263,-55.89253922096864,-55.60787537404007,-50.38842294354914
"[45.0, 125.0, 75.0, 155.0]",-82.42502418445072,-84.71958678862094,77.10999145168758,18.45793928774896
"[85.0, 125.0, 115.0, 155.0]",81.79409897691195,-11.1316534138151,-87.7966752354313,18.20120132477177
"[85.0, 85.0, 115.0, 115.0]",-83.37223669960032,31.904145282552765,86.27568394060955,-78.55203055641903
"[85.0, 165.0, 115.0, 195.0]",19.98376203962332,-30.87209966240185,-37.75454654049538,-31.934782433127648
"[125.0, 85.0, 155.0, 115.0]",-19.72177715651301,-76.48242031779971,90.6032944723009,19.267263769857426
"[165.0, 85.0, 195.0, 115.0]",-76.00576594905212,-67.01034748086934,94.63795482850408,27.405524017792654
"[85.0, 205.0, 115.0, 235.0]",-27.501484076054613,-29.190968940321397,-30.02637815844169,-29.05920390470996
"[125.0, 45.0, 155.0, 75.0]",-39.23306164528533,13.573111653037474,-39.24970961370516,-40.605189552430794
"[125.0, 5.0, 155.0, 35.0]",-42.480152899267146,-38.82607900051716,-42.59459459347548,-42.376449029852225
"[165.0, 5.0, 195.0, 35.0]",-38.377726506568905,-39.41584750721221,-38.696510868863896,-39.65743088237007
"[205.0, 85.0, 235.0, 115.0]",-67.9870103536785,98.27553311385189,-76.05222205920778,27.087950215825014
"[205.0, 125.0, 235.0, 155.0]",45.97822259887898,101.65842394010471,-69.49420112885197,-66.0659679933439
"[85.0, 5.0, 115.0, 35.0]",-40.5188572257706,-42.064110942753466,-38.782705270789975,-37.24715461443247
"[205.0, 165.0, 235.0, 195.0]",51.32476077813794,-64.69120059300708,104.46999277230375,0.5589552981232705
"[205.0, 5.0, 235.0, 35.0]",-31.305310181415628,-33.120485362854645,-30.38741197683296,-32.34053505149241
"[245.0, 5.0, 275.0, 35.0]",-22.420384475036105,-22.787812369106998,-24.887989334773003,-24.9148794190262
"[285.0, 5.0, 315.0, 35.0]",-20.549969373739,-24.4546319646,-20.302045995589786,-19.93743706429512
"[165.0, 165.0, 195.0, 195.0]",-18.783987272172002,-16.135323614983356,31.258875445977715,-15.8313105
"[245.0, 165.0, 275.0, 195.0]",-57.683894573343736,106.84088598054024,7.0577822150093334,38.85558160840443
"[245.0, 205.0, 275.0, 235.0]",33.0857845238724,109.26631733894322,-55.47350372487547,-61.71456578751441
"[285.0, 165.0, 315.0, 195.0]",-17.696402249555547,-20.401839157152,-18.12570309294145,42.04995720601768
"[285.0, 125.0, 315.0, 155.0]",-18.98099261559045,-18.673228959181106,-18.87942502700529,-21.7314894753504
"[285.0, 85.0, 315.0, 115.0]",-20.494708323,-14.220358792400004,-14.236551030847954,-17.487292437
"[245.0, 245.0, 275.0, 275.0]",43.942145423952475,-47.61760768548274,110.8398767856048,-59.90421555185057
"[285.0, 245.0, 315.0, 275.0]",-47.55358119854653,111.32768244407286,47.85104714146728,35.10870469843622
"[165.0, 205.0, 195.0, 235.0]",-14.682480962789581,-11.469880823118734,-18.3512252001,-14.2816214001
"[165.0, 245.0, 195.0, 275.0]",-9.87591237627766,-9.940012946644725,-11.942861999999998,-12.0726528
"[165.0, 285.0, 195.0, 315.0]",-7.4690603003909475,-7.9142458367093536,-8.869499999999997,-7.921323317392463
"[125.0, 285.0, 155.0, 315.0]",-12.754946999999998,-4.66507188,-4.279490587600232,-4.521301319999999
"[85.0, 285.0, 115.0, 315.0]",-3.69,-0.99,-4.00074,-2.0412
"[45.0, 285.0, 75.0, 315.0]",-4.109999999999999,-1.11,-1.68,-1.08
"[5.0, 285.0, 35.0, 315.0]",0.0,-1.38,-1.53,-1.23
